                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.88403,                0.50666,                0.94568,                0.74162,                0.75914,                0.75966,                0.49898,                 1.2487,                0.76815,                 1.1681,             0.00093073,             0.00093073,             0.00093073
                    131,                 0.8741,                0.49356,                0.95091,                0.74203,                0.76012,                0.78054,                0.50788,                 1.2291,                0.75201,                 1.1666,             0.00092825,             0.00092825,             0.00092825
                    132,                0.85549,                0.50261,                0.94401,                0.73555,                0.76227,                0.74445,                 0.4827,                 1.2297,                0.73991,                 1.1687,             0.00092577,             0.00092577,             0.00092577
                    133,                0.86271,                0.50263,                0.94039,                0.74329,                 0.7422,                 0.7517,                0.49514,                 1.2409,                0.73299,                 1.1704,              0.0009233,              0.0009233,              0.0009233
                    134,                  0.856,                0.49683,                0.94185,                0.73354,                0.72707,                0.73085,                0.48514,                 1.2308,                0.76204,                 1.1577,             0.00092083,             0.00092083,             0.00092083
                    135,                0.86717,                0.49743,                0.94215,                0.69025,                0.72878,                0.73715,                0.48596,                 1.2437,                0.75279,                 1.1711,             0.00091835,             0.00091835,             0.00091835
                    136,                0.85352,                0.49763,                0.94286,                0.68302,                0.73139,                0.73064,                0.48552,                 1.2415,                 0.7398,                 1.1767,             0.00091588,             0.00091588,             0.00091588
                    137,                0.85119,                0.49317,                 0.9379,                0.71532,                0.74848,                0.75611,                0.49108,                 1.2304,                0.76477,                 1.1736,              0.0009134,              0.0009134,              0.0009134
                    138,                0.84444,                0.47437,                 0.9388,                0.73846,                0.71779,                0.74723,                  0.493,                 1.2267,                0.76617,                 1.1666,             0.00091092,             0.00091092,             0.00091092
                    139,                 0.8534,                 0.4865,                0.93897,                0.70981,                0.77102,                0.75283,                0.48269,                 1.2388,                0.77437,                 1.1705,             0.00090845,             0.00090845,             0.00090845
                    140,                0.85592,                0.48925,                0.93673,                 0.7273,                0.78825,                0.77685,                0.50113,                  1.229,                0.77884,                   1.17,             0.00090597,             0.00090597,             0.00090597
                    141,                0.84158,                0.48323,                0.93566,                0.69717,                 0.7533,                0.73842,                0.48251,                 1.2313,                0.76245,                 1.1652,              0.0009035,              0.0009035,              0.0009035
                    142,                0.82907,                0.47536,                0.93001,                0.70304,                0.75866,                0.74557,                0.49166,                 1.2221,                0.77679,                 1.1665,             0.00090103,             0.00090103,             0.00090103
                    143,                0.84363,                0.48334,                0.93541,                0.74469,                0.70558,                0.73906,                 0.4841,                 1.2282,                0.78448,                 1.1658,             0.00089855,             0.00089855,             0.00089855
                    144,                0.83409,                 0.4765,                0.93096,                0.79688,                0.72776,                0.75382,                0.48788,                 1.2327,                0.75235,                 1.1756,             0.00089607,             0.00089607,             0.00089607
                    145,                0.83044,                0.47697,                0.93272,                0.77797,                0.75191,                0.77218,                0.49903,                 1.2154,                0.73617,                  1.165,              0.0008936,              0.0008936,              0.0008936
                    146,                0.82495,                 0.4779,                0.92908,                0.76006,                0.73251,                0.76664,                0.49817,                 1.2221,                0.72926,                 1.1683,             0.00089112,             0.00089112,             0.00089112
                    147,                0.82153,                0.48073,                0.93394,                0.70645,                0.76397,                0.76349,                0.49427,                 1.2449,                0.77055,                  1.181,             0.00088865,             0.00088865,             0.00088865
